,iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
86,87,0.0360964,6.90454,6.94064,10,14,2462,2800,12.2455,10.4472,12.245499999999998,1669.0031800000002,0
87,88,0.0386808,2.25184,2.29052,28,6,2496,2830,11.017,7.65597,18.673,1689.9667000000002,0
88,89,0.040106,6.99906,7.03916,9,7,2505,2846,12.3882,9.80746,12.388139999999998,1709.3940000000002,0
89,90,0.0373205,6.9179,6.95523,36,17,2558,2897,8.41711,8.03714,16.4543,1732.8035300000001,0
90,91,0.039275,6.2754,6.31467,14,4,2572,2914,12.0417,10.0171,12.041800000000002,1751.16,0
91,92,0.0378791,5.55636,5.59423,34,12,2618,2955,9.12013,7.57096,16.6911,1773.44533,0
92,93,0.0373543,5.81953,5.85688,16,9,2634,2976,11.8548,10.3485,11.8548,1791.15701,0
93,94,0.0391493,5.88776,5.92691,30,19,2683,3021,9.11981,7.23921,16.359,1813.44292,0
94,95,0.0396951,6.61972,6.65942,15,7,2698,3041,12.6389,10.1317,12.638900000000001,1832.74124,0
95,96,0.0383612,2.97743,3.01579,25,4,2723,3066,9.54511,9.31755,9.54515,1845.3021800000001,0
96,97,0.0396808,4.39232,4.432,10,5,2733,3079,11.9484,11.177,11.9484,1861.6825800000001,0
97,98,0.042317,5.37731,5.41963,25,18,2758,3116,10.2998,8.19429,10.299809999999999,1877.4020200000002,0
98,99,0.0410098,6.7772,6.81821,11,4,2769,3130,11.9791,10.6974,11.9792,1896.1994300000001,0
99,100,0.042042,8.27371,8.31575,13,12,2782,3153,11.8035,10.3126,11.8036,1916.31878,0
100,101,0.0414064,9.02789,9.0693,9,8,2791,3169,11.9784,12.0334,11.9783,1937.3663800000002,0
101,102,0.0406642,5.78285,5.82351,27,12,2818,3205,9.28218,8.52058,9.28222,1952.4721100000002,0
102,103,0.0413081,8.88927,8.93058,10,14,2828,3223,12.2869,11.7178,12.2869,1973.6895900000002,0
103,104,0.0417376,5.09537,5.13711,23,9,2851,3252,11.125,8.86953,11.12507,1989.9517700000001,0
104,105,0.0419163,7.097,7.13892,10,8,2861,3269,12.1045,10.5191,12.1045,2009.1951900000001,0
105,106,0.042356,8.68096,8.72332,21,20,2882,3308,11.271,6.96852,11.27108,2029.1895900000002,0
106,107,0.0430589,7.24395,7.28701,10,15,2892,3331,11.4451,10.5851,11.4451,2047.9217,0
107,108,0.0415227,8.77397,8.8155,42,33,2967,3400,7.56659,7.68333,15.2499,2071.9871000000003,0
108,109,0.0442218,4.64806,4.69228,14,9,2981,3421,11.1336,10.2644,11.1336,2087.81298,0
109,110,0.0414557,6.60021,6.64167,32,24,3037,3471,9.11314,7.84483,16.958,2111.41265,0
110,111,0.0419593,7.54484,7.5868,13,10,3050,3489,11.6869,10.5021,11.6869,2130.6863500000004,0
111,112,0.0424907,8.80289,8.84538,30,28,3108,3544,9.37964,7.03223,16.4119,2155.94363,0
112,113,0.0426006,7.00804,7.05064,13,16,3121,3567,11.8777,11.0233,11.877699999999999,2174.87197,0
