,iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
75,76,0.217769,3.16362,3.38139,14,0,1988,1920,12.47,1.27e-07,12.469999873,1448.3517146800004,51
76,77,0.219383,5.58566,5.80504,14,0,2002,1934,12.1206,1.23e-07,12.120599877,1466.2773545570005,52
77,78,0.222184,4.10224,4.32442,14,0,2016,1947,12.313,1.42e-07,12.312999858000001,1482.9147744150005,53
78,79,0.219452,7.22589,7.44534,17,0,2033,1961,11.4601,1.44e-07,11.460099856000001,1501.8202142710004,54
79,80,0.221481,4.94215,5.16363,29,12,2074,1998,9.74755,8.36889,18.1165,1525.1003442710005,54
80,81,0.220546,7.79011,8.01066,15,0,2089,2012,11.1619,1.29e-07,11.161999871,1544.2730041420004,55
81,82,0.219667,6.27798,6.49765,36,17,2142,2063,9.54766,6.54671,16.0944,1566.8650541420004,55
82,83,0.218792,3.35305,3.57184,17,0,2159,2079,11.5237,1.22e-07,11.523699878,1581.9605940200004,56
83,84,0.219953,6.58699,6.80694,31,16,2206,2124,9.05983,7.35704,16.4169,1605.1844340200005,56
84,85,0.219391,4.93876,5.15815,11,0,2217,2132,11.8684,1.48e-07,11.868399852,1622.2109838720005,57
85,86,0.219484,5.39941,5.6189,11,0,2228,2142,12.2112,1.33e-07,12.211199867,1640.0410837390004,58
86,87,0.221501,5.81338,6.03488,16,0,2244,2157,10.8814,8.5e-08,10.881399915,1656.9573636540003,59
87,88,0.221875,6.36574,6.58762,41,23,2308,2216,7.29254,7.94291,15.2355,1678.7804836540004,59
88,89,0.223237,4.57065,4.79389,12,0,2320,2227,11.6329,1.34e-07,11.632899865999999,1695.2072735200004,60
89,90,0.223804,7.08373,7.30753,24,0,2344,2249,10.9795,1.18e-07,10.9795,1713.4943035200004,61
90,91,0.225052,6.12517,6.35022,15,0,2359,2262,11.8068,9.7e-08,11.806799903000002,1731.6513234230003,62
91,92,0.223664,4.64732,4.87099,10,0,2369,2271,12.4773,9.7e-08,12.477299903,1748.9996133260004,63
92,93,0.222905,3.79098,4.01389,26,7,2402,2301,9.99332,9.10642,19.0998,1772.1133033260003,63
93,94,0.2255,5.20177,5.42727,21,0,2423,2319,11.3056,1.21e-07,11.305599879,1788.8461732050002,64
94,95,0.200099,10.6088,10.8089,0,0,2423,2319,13.3181,1.25e-07,13.318099875,1812.9731730800002,65
95,96,0.224339,4.18775,4.41209,13,0,2436,2330,11.9895,1.08e-07,11.989499892,1829.374762972,66
