iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
89,0.223237,4.57065,4.79389,12,0,12,2227,11.6329,1.34E-07,11.6329,1783.62,60
90,0.223804,7.08373,7.30753,24,0,24,2249,10.9795,1.18E-07,10.9795,1802.91,61
91,0.225052,6.12517,6.35022,15,0,15,2262,11.8068,9.70E-08,11.8068,1822.07,62
92,0.223664,4.64732,4.87099,10,0,10,2271,12.4773,9.70E-08,12.4773,1840.43,63
93,0.222905,3.79098,4.01389,26,7,33,2301,9.99332,9.10642,19.0998,1864.54,63
94,0.2255,5.20177,5.42727,21,0,21,2319,11.3056,1.21E-07,11.3056,1882.28,64
95,0.200099,10.6088,10.8089,0,0,0,2319,13.3181,1.25E-07,13.3181,1907.41,65
96,0.224339,4.18775,4.41209,13,0,13,2330,11.9895,1.08E-07,11.9895,1924.82,66
97,0.221269,3.39516,3.61643,19,0,19,2346,12.0095,1.72E-07,12.0095,1941.45,67
98,0.221414,5.19096,5.41237,39,17,56,2398,7.98635,7.12651,15.1129,1962.98,67
99,0.223586,4.33696,4.56055,40,11,51,2442,8.99178,7.11859,16.1104,1984.65,67
100,0.2007,11.4352,11.6359,6,0,6,2448,11.6286,9.70E-08,11.6286,2008.92,68
101,0.223404,6.45181,6.67522,42,14,56,2503,7.7967,8.27462,16.0713,2032.67,68
102,0.223454,4.60688,4.83033,15,0,15,2518,11.4122,1.05E-07,11.4122,2049.92,69
103,0.22309,5.88923,6.11232,15,0,15,2531,11.9791,1.21E-07,11.9791,2069.02,70
104,0.223759,4.88804,5.1118,13,0,13,2543,11.479,1.08E-07,11.479,2086.61,71
105,0.226126,7.30231,7.52844,18,0,18,2558,10.6611,1.01E-07,10.6612,2105.81,72
106,0.221746,4.65129,4.87304,29,16,45,2602,8.48463,7.69868,16.1833,2127.87,72
107,0.226344,2.37494,2.60128,28,4,32,2633,10.4656,8.14972,18.6153,2150.09,72
108,0.225659,3.83145,4.05711,33,12,45,2677,10.8166,6.55431,17.371,2172.52,72
109,0.223513,5.44859,5.6721,22,0,22,2697,10.6618,1.34E-07,10.6618,2189.86,73
110,0.226519,7.46631,7.69283,19,0,19,2713,11.3388,9.70E-08,11.3388,2209.9,74
111,0.226393,3.99177,4.21816,32,13,45,2756,9.37459,7.06145,16.4361,2231.56,74
112,0.224823,6.93415,7.15897,28,16,44,2797,9.39948,7.5059,16.9054,2256.62,74
113,0.202017,9.77923,9.98124,0,0,0,2797,13.1566,9.20E-08,13.1566,2280.77,75
114,0.224685,2.32213,2.54681,15,0,15,2811,11.3012,1.83E-07,11.3012,2295.62,76
115,0.221897,4.14649,4.36839,34,17,51,2859,8.42097,7.26607,15.6871,2316.68,76
116,0.225449,6.51915,6.7446,21,0,21,2880,10.3972,1.27E-07,10.3972,2334.83,77
117,0.225808,4.47185,4.69766,8,0,8,2888,12.0477,1.23E-07,12.0477,2352.57,78
118,0.225157,8.26263,8.48778,38,30,68,2949,8.40147,6.99193,15.3934,2377.46,78
119,0.22593,5.47797,5.7039,13,0,13,2960,11.8745,1.17E-07,11.8745,2396.04,79
120,0.224367,7.54509,7.76945,22,0,22,2979,11.2152,1.10E-07,11.2152,2416.03,80
121,0.226804,2.23787,2.46467,29,4,33,3011,9.41169,9.12419,18.5359,2438.04,80
122,0.225873,3.03305,3.25893,9,0,9,3020,12.3628,6.70E-08,12.3628,2454.66,81
123,0.228581,8.10124,8.32982,14,0,14,3032,12.0082,1.34E-07,12.0082,2476.01,82
124,0.226476,5.96661,6.19309,11,0,11,3042,12.3655,1.11E-07,12.3655,2495.57,83
125,0.228357,2.47207,2.70043,33,13,46,3085,8.91524,6.99688,15.9121,2515.19,83
126,0.227508,4.78312,5.01063,9,0,9,3093,11.8889,1.26E-07,11.889,2533.09,84
127,0.227908,5.24451,5.47242,33,17,50,3137,9.60989,7.10496,16.7149,2556.28,84
128,0.228061,1.5309,1.75896,32,4,36,3172,9.36218,7.84325,17.2054,2576.25,84
129,0.226965,3.74873,3.9757,36,10,46,3214,9.3958,7.79923,17.1951,2598.43,84
130,0.22826,9.29285,9.52111,32,36,68,3273,9.14338,6.82641,15.9698,2624.92,84
131,0.228831,3.20287,3.4317,10,0,10,3281,12.1814,1.19E-07,12.1814,2641.54,85
132,0.231081,7.55432,7.7854,13,0,13,3291,11.7321,1.30E-07,11.7321,2662.06,86
133,0.228839,7.38646,7.6153,25,10,35,3326,9.90432,7.1543,17.0586,2687.74,86
134,0.231442,5.01803,5.24947,14,0,14,3337,12.0564,9.80E-08,12.0564,2706.05,87
135,0.227132,4.1458,4.37293,38,23,61,3388,8.24381,7.09168,15.3355,2726.76,87
136,0.226969,7.39781,7.62478,10,0,10,3397,12.2541,1.21E-07,12.2542,2747.65,88
137,0.230273,3.25536,3.48564,24,0,24,3416,10.952,9.10E-08,10.952,2763.09,89
138,0.229455,4.72252,4.95198,32,16,48,3454,10.5891,7.49998,18.0891,2787.13,89
139,0.227391,3.59232,3.81972,15,0,15,3469,11.7625,1.13E-07,11.7625,2803.72,90
140,0.229445,5.52861,5.75805,15,0,15,3483,11.8174,1.23E-07,11.8174,2822.3,91
141,0.229713,8.04247,8.27218,27,26,53,3531,10.0882,7.1388,17.227,2848.8,91
142,0.22969,1.65631,1.886,28,11,39,3566,9.09332,8.1914,17.2847,2868.98,91
143,0.233171,5.60781,5.84098,34,15,49,3609,9.32444,7.00687,16.3313,2892.16,91
144,0.231873,7.3896,7.62148,12,0,12,3619,12.4382,7.50E-08,12.4382,2913.22,92
145,0.232847,3.10271,3.33556,15,0,15,3632,11.2988,8.50E-08,11.2988,2928.86,93
146,0.230061,3.66678,3.89684,14,0,14,3644,12.1177,9.40E-08,12.1177,2945.88,94
147,0.229789,6.16832,6.39811,18,0,18,3661,11.6488,1.28E-07,11.6488,2964.93,95
148,0.232182,2.69364,2.92583,38,9,47,3703,9.56265,7.29103,16.8537,2985.71,95
149,0.232056,5.95857,6.19063,15,0,15,3717,12.3891,1.03E-07,12.3891,3005.3,96
150,0.224684,7.79353,8.01821,16,0,16,3731,10.5655,1.24E-07,10.5655,3024.89,97
151,0.23249,3.75433,3.98682,11,0,11,3742,12.343,1.19E-07,12.343,3042.22,98
152,0.234491,6.27828,6.51277,39,17,56,3788,9.10744,8.34013,17.4476,3067.19,98
153,0.233806,4.86481,5.09862,12,0,12,3798,11.8711,8.80E-08,11.8711,3085.16,99
154,0.235719,4.46044,4.69616,17,0,17,3813,11.5457,1.40E-07,11.5458,3102.41,100
155,0.232578,6.67049,6.90307,19,0,19,3827,11.6948,1.31E-07,11.6948,3122.01,101
156,0.234744,2.88535,3.1201,18,0,18,3841,11.8253,1.17E-07,11.8253,3137.96,102
157,0.23359,4.70109,4.93468,21,0,21,3858,10.5681,8.70E-08,10.5681,3154.47,103
158,0.234896,8.56934,8.80424,31,29,60,3913,8.73603,7.13209,15.8681,3180.14,103
159,0.2351,2.48765,2.72275,13,0,13,3923,11.7735,1.15E-07,11.7736,3195.64,104
160,0.232903,6.92277,7.15568,11,0,11,3933,11.9975,1.03E-07,11.9975,3215.8,105
161,0.232451,5.49771,5.73016,36,22,58,3985,9.6276,6.1104,15.738,3238.27,105
162,0.231601,5.89723,6.12883,16,0,16,3999,10.4371,1.22E-07,10.4372,3255.84,106
163,0.233913,6.45082,6.68473,15,0,15,4014,11.7979,1.09E-07,11.7979,3275.33,107
164,0.233872,7.63233,7.8662,15,0,15,4027,11.4639,8.40E-08,11.4639,3295.67,108
165,0.232291,6.13315,6.36544,17,0,17,4041,11.9592,1.14E-07,11.9592,3315,109
166,0.232269,3.47862,3.71089,34,13,47,4083,8.97843,7.2417,16.2201,3335.93,109
167,0.232985,6.37955,6.61253,33,18,51,4125,8.6553,7.64683,16.3021,3359.85,109
168,0.233882,6.83536,7.06924,30,19,49,4165,10.597,7.61606,18.2131,3386.14,109
169,0.235276,7.71012,7.9454,18,0,18,4182,11.1269,1.24E-07,11.1269,3406.21,110
