iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
102,0.0406642,5.78285,5.82351,27,12,39,3205,9.28218,8.52058,17.8028,2711.48,0
103,0.0413081,8.88927,8.93058,10,14,24,3223,12.2869,11.7178,24.0047,2745.42,0
104,0.0417376,5.09537,5.13711,23,9,32,3252,11.125,8.86953,19.9946,2771.56,0
105,0.0419163,7.097,7.13892,10,8,18,3269,12.1045,10.5191,22.6236,2802.33,0
106,0.042356,8.68096,8.72332,21,20,41,3308,11.271,6.96852,18.2396,2830.29,0
107,0.0430589,7.24395,7.28701,10,15,25,3331,11.4451,10.5851,22.0302,2860.62,0
108,0.0415227,8.77397,8.8155,42,33,75,3400,7.56659,7.68333,15.2499,2885.69,0
109,0.0442218,4.64806,4.69228,14,9,23,3421,11.1336,10.2644,21.398,2912.78,0
110,0.0414557,6.60021,6.64167,32,24,56,3471,9.11314,7.84483,16.958,2937.39,0
111,0.0419593,7.54484,7.5868,13,10,23,3489,11.6869,10.5021,22.189,2968.17,0
112,0.0424907,8.80289,8.84538,30,28,58,3544,9.37964,7.03223,16.4119,2994.43,0
113,0.0426006,7.00804,7.05064,13,16,29,3567,11.8777,11.0233,22.901,3025.38,0
114,0.0432773,5.66432,5.70759,33,24,57,3614,9.83918,7.34445,17.1837,3049.28,0
115,0.0419915,7.63174,7.67374,17,4,21,3634,11.462,10.0029,21.4648,3079.42,0
116,0.0436001,9.1861,9.2297,31,27,58,3684,10.2338,6.7758,17.0096,3106.67,0
117,0.0449727,5.51932,5.56429,21,7,28,3708,10.8272,10.4478,21.275,3134.51,0
118,0.0447627,6.89563,6.9404,35,22,57,3756,9.26531,7.85007,17.1154,3159.57,0
119,0.0432892,5.2157,5.25899,16,4,20,3773,10.9928,10.9212,21.914,3187.75,0
120,0.0445968,9.58243,9.62703,33,27,60,3827,8.08577,7.48987,15.5757,3213.95,0
121,0.0459097,5.94264,5.98855,13,7,20,3846,11.9221,10.1432,22.0653,3243.01,0
122,0.0434839,7.62348,7.66696,35,16,51,3888,9.58222,8.01855,17.6008,3269.29,0
123,0.0425257,8.94019,8.98272,18,13,31,3912,10.917,11.3974,22.3145,3301.59,0
124,0.0431846,5.51471,5.55789,34,28,62,3965,9.9822,6.72558,16.7078,3324.86,0
125,0.0447015,6.33415,6.37885,11,11,22,3983,12.2336,11.6716,23.9053,3356.15,0
126,0.0455291,7.46315,7.50868,35,18,53,4020,10.5255,7.87801,18.4035,3383.06,0
127,0.043593,5.75382,5.79741,13,7,20,4039,12.3802,10.3923,22.7725,3412.64,0
128,0.0458325,9.59552,9.64135,28,22,50,4079,10.6762,7.25019,17.9264,3441.21,0
129,0.0457677,1.43642,1.48219,11,0,11,4089,11.8574,11.5331,23.3905,3467.09,0
130,0.0484633,4.49819,4.54665,31,15,46,4129,9.11259,7.533,16.6456,3489.28,0
131,0.0477201,3.35445,3.40217,12,4,16,4143,11.9814,11.0861,23.0675,3516.76,0
132,0.0462209,5.22045,5.26667,10,11,21,4164,11.8807,9.67926,21.56,3544.59,0
133,0.0458476,5.88634,5.93219,8,8,16,4178,12.5353,10.4653,23.0007,3574.53,0
134,0.0452532,2.48734,2.53259,28,4,32,4202,10.5521,9.62394,20.1761,3598.24,0
135,0.0472447,5.88687,5.93411,14,3,17,4215,12.3654,10.0608,22.4262,3627.6,0
136,0.0472981,6.45168,6.49898,35,21,56,4262,8.57551,6.85087,15.4264,3650.53,0
137,0.047038,7.38643,7.43347,14,12,26,4284,11.874,10.437,22.311,3681.28,0
138,0.049028,5.5565,5.60553,31,9,40,4318,9.92367,7.91762,17.8413,3705.73,0
