,iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
91,92,0.0378791,5.55636,5.59423,34,12,3104,2955,9.12013,7.57096,16.6911,2340.235530000001,0
92,93,0.0373543,5.81953,5.85688,16,9,3129,2976,11.8548,10.3485,22.2033,2368.295710000001,0
93,94,0.0391493,5.88776,5.92691,30,19,3178,3021,9.11981,7.23921,16.359,2390.581620000001,0
94,95,0.0396951,6.61972,6.65942,15,7,3200,3041,12.6389,10.1317,22.7706,2420.0116400000006,0
95,96,0.0383612,2.97743,3.01579,25,4,3229,3066,9.54511,9.31755,18.8627,2441.8901300000007,0
96,97,0.0396808,4.39232,4.432,10,5,3244,3079,11.9484,11.177,23.1254,2469.447530000001,0
97,98,0.042317,5.37731,5.41963,25,18,3287,3116,10.2998,8.19429,18.4941,2493.361260000001,0
98,99,0.0410098,6.7772,6.81821,11,4,3302,3130,11.9791,10.6974,22.6766,2522.856070000001,0
99,100,0.042042,8.27371,8.31575,13,12,3327,3153,11.8035,10.3126,22.1162,2553.2880200000013,0
100,101,0.0414064,9.02789,9.0693,9,8,3344,3169,11.9784,12.0334,24.0117,2586.3690200000015,0
101,102,0.0406642,5.78285,5.82351,27,12,3383,3205,9.28218,8.52058,17.8028,2609.9953300000016,0
102,103,0.0413081,8.88927,8.93058,10,14,3407,3223,12.2869,11.7178,24.0047,2642.9306100000017,0
103,104,0.0417376,5.09537,5.13711,23,9,3439,3252,11.125,8.86953,19.9946,2668.062320000002,0
104,105,0.0419163,7.097,7.13892,10,8,3457,3269,12.1045,10.5191,22.6236,2697.824840000002,0
105,106,0.042356,8.68096,8.72332,21,20,3498,3308,11.271,6.96852,18.2396,2724.787760000002,0
106,107,0.0430589,7.24395,7.28701,10,15,3523,3331,11.4451,10.5851,22.0302,2754.104970000002,0
107,108,0.0415227,8.77397,8.8155,42,33,3598,3400,7.56659,7.68333,15.2499,2778.170370000002,0
108,109,0.0442218,4.64806,4.69228,14,9,3621,3421,11.1336,10.2644,21.398,2804.260650000002,0
109,110,0.0414557,6.60021,6.64167,32,24,3677,3471,9.11314,7.84483,16.958,2827.860320000002,0
110,111,0.0419593,7.54484,7.5868,13,10,3700,3489,11.6869,10.5021,22.189,2857.636120000002,0
111,112,0.0424907,8.80289,8.84538,30,28,3758,3544,9.37964,7.03223,16.4119,2882.8934000000017,0
112,113,0.0426006,7.00804,7.05064,13,16,3787,3567,11.8777,11.0233,22.901,2912.845040000002,0
113,114,0.0432773,5.66432,5.70759,33,24,3844,3614,9.83918,7.34445,17.1837,2935.736330000002,0
114,115,0.0419915,7.63174,7.67374,17,4,3865,3634,11.462,10.0029,21.4648,2964.874870000002,0
115,116,0.0436001,9.1861,9.2297,31,27,3923,3684,10.2338,6.7758,17.0096,2991.114170000002,0
116,117,0.0449727,5.51932,5.56429,21,7,3951,3708,10.8272,10.4478,21.275,3017.953460000002,0
117,118,0.0447627,6.89563,6.9404,35,22,4008,3756,9.26531,7.85007,17.1154,3042.009260000002,0
118,119,0.0432892,5.2157,5.25899,16,4,4028,3773,10.9928,10.9212,21.914,3069.182250000002,0
119,120,0.0445968,9.58243,9.62703,33,27,4088,3827,8.08577,7.48987,15.5757,3094.384980000002,0
120,121,0.0459097,5.94264,5.98855,13,7,4108,3846,11.9221,10.1432,22.0653,3122.438830000002,0
121,122,0.0434839,7.62348,7.66696,35,16,4159,3888,9.58222,8.01855,17.6008,3147.706590000002,0
122,123,0.0425257,8.94019,8.98272,18,13,4190,3912,10.917,11.3974,22.3145,3179.003810000002,0
123,124,0.0431846,5.51471,5.55789,34,28,4252,3965,9.9822,6.72558,16.7078,3201.269500000002,0
124,125,0.0447015,6.33415,6.37885,11,11,4274,3983,12.2336,11.6716,23.9053,3231.553650000002,0
125,126,0.0455291,7.46315,7.50868,35,18,4327,4020,10.5255,7.87801,18.4035,3257.465830000002,0
126,127,0.043593,5.75382,5.79741,13,7,4347,4039,12.3802,10.3923,22.7725,3286.035740000002,0
127,128,0.0458325,9.59552,9.64135,28,22,4397,4079,10.6762,7.25019,17.9264,3313.6034900000022,0
128,129,0.0457677,1.43642,1.48219,11,0,4408,4089,11.8574,11.5331,23.3905,3338.4761800000024,0
129,130,0.0484633,4.49819,4.54665,31,15,4454,4129,9.11259,7.533,16.6456,3359.6684300000024,0
130,131,0.0477201,3.35445,3.40217,12,4,4470,4143,11.9814,11.0861,23.0675,3386.1381000000024,0
131,132,0.0462209,5.22045,5.26667,10,11,4491,4164,11.8807,9.67926,21.56,3412.9647700000023,0
132,133,0.0458476,5.88634,5.93219,8,8,4507,4178,12.5353,10.4653,23.0007,3441.8976600000024,0
133,134,0.0452532,2.48734,2.53259,28,4,4539,4202,10.5521,9.62394,20.1761,3464.6063500000023,0
134,135,0.0472447,5.88687,5.93411,14,3,4556,4215,12.3654,10.0608,22.4262,3492.9666600000023,0
135,136,0.0472981,6.45168,6.49898,35,21,4612,4262,8.57551,6.85087,15.4264,3514.8920400000025,0
136,137,0.047038,7.38643,7.43347,14,12,4638,4284,11.874,10.437,22.311,3544.6365100000025,0
137,138,0.049028,5.5565,5.60553,31,9,4678,4318,9.92367,7.91762,17.8413,3568.0833400000024,0
138,139,0.0501466,8.49769,8.54783,14,8,4700,4336,11.6982,10.7613,22.4595,3599.0906700000023,0
139,140,0.0478563,3.79268,3.84053,38,19,4757,4389,7.91573,7.10484,15.0206,3617.951800000002,0
140,141,0.0495234,4.73317,4.78269,12,9,4778,4404,11.3903,11.2173,22.6076,3645.342090000002,0
141,142,0.0511034,5.2728,5.3239,39,15,4832,4451,8.92517,6.55996,15.4851,3666.151090000002,0
142,143,0.0483731,5.88849,5.93686,13,16,4861,4475,11.402,10.3973,21.7993,3693.887250000002,0
143,144,0.0488805,5.17721,5.22609,33,21,4915,4520,10.2391,6.86936,17.1085,3716.221840000002,0
144,145,0.0497566,4.86833,4.91809,18,6,4939,4539,12.7355,9.88657,22.6221,3743.762030000002,0
145,146,0.0411644,9.37298,9.41415,40,36,5015,4601,8.881,6.26896,15.15,3768.3261800000023,0
146,147,0.049709,4.41593,4.46564,14,7,5036,4618,11.7309,10.8947,22.6256,3795.4174200000025,0
147,148,0.0493482,8.09002,8.13937,29,21,5086,4664,9.10658,9.36838,18.475,3822.0317900000023,0
148,149,0.0510171,5.19429,5.24531,12,10,5108,4681,12.2541,10.228,22.4821,3849.7592000000022,0
149,150,0.0511626,7.50261,7.55377,43,26,5177,4733,10.5634,7.41469,17.9781,3875.291070000002,0
150,151,0.0507692,4.9701,5.02087,15,10,5202,4754,11.9294,10.292,22.2215,3902.533440000002,0
151,152,0.0517664,5.04322,5.09499,35,25,5262,4802,10.0044,6.89309,16.8975,3924.525930000002,0
152,153,0.052087,3.18131,3.2334,10,13,5285,4822,11.9394,10.7241,22.6635,3950.4228300000023,0
153,154,0.0506499,6.50346,6.55411,30,25,5340,4869,9.84147,7.34695,17.1884,3974.1653400000023,0
154,155,0.0523505,8.2715,8.32385,13,13,5366,4892,11.8037,10.4416,22.2453,4004.734490000002,0
155,156,0.0512678,5.20919,5.26046,27,20,5413,4938,9.64195,7.25715,16.8991,4026.894050000002,0
156,157,0.0510544,6.50323,6.55428,10,11,5434,4958,12.1909,10.0027,22.1937,4055.6420300000023,0
157,158,0.0538374,5.12624,5.18008,38,7,5479,4994,10.4028,7.61083,18.0136,4078.835710000002,0
158,159,0.0523415,6.51812,6.57046,6,9,5494,5007,12.3837,11.1064,23.4901,4108.896270000002,0
159,160,0.0494944,7.1565,7.20599,32,20,5546,5054,8.71644,7.38844,16.1049,4132.207160000002,0
160,161,0.0515005,7.38546,7.43696,12,6,5564,5067,12.2073,10.9689,23.1762,4162.820320000002,0
161,162,0.0543636,4.78253,4.8369,32,12,5608,5100,11.0718,7.4497,18.5215,4186.178720000002,0
162,163,0.0514001,6.60203,6.65343,12,4,5624,5115,12.8975,10.8141,23.7116,4216.543750000002,0
163,164,0.0547277,8.26377,8.31849,15,16,5655,5142,11.5295,8.47292,20.0024,4244.864640000002,0
164,165,0.0534548,9.37436,9.42782,4,10,5669,5154,12.6554,11.9376,24.593,4278.885460000001,0
165,166,0.0528366,5.321,5.37384,29,13,5711,5189,9.73287,7.75157,17.4845,4301.743800000001,0
166,167,0.0530973,6.90478,6.95788,12,7,5730,5206,12.0647,10.6605,22.7252,4331.426880000001,0
167,168,0.0543876,4.86865,4.92303,34,15,5779,5247,10.4097,7.8653,18.2751,4354.625010000001,0
168,169,0.0553042,6.28643,6.34174,15,8,5802,5264,11.8968,11.0084,22.9053,4383.872050000001,0
169,170,0.0529893,6.11735,6.17034,34,17,5853,5309,9.6026,7.04543,16.6481,4406.690490000001,0
170,171,0.0544532,7.7927,7.84715,16,8,5877,5327,10.6371,10.9344,21.5715,4436.1091400000005,0
171,172,0.0559285,5.17771,5.23364,34,21,5932,5375,9.63303,6.61396,16.247,4457.58978,0
172,173,0.054578,5.73006,5.78464,12,13,5957,5398,11.3893,10.5199,21.9092,4485.28362,0
173,174,0.0561107,6.74439,6.8005,35,20,6012,5440,10.2295,7.02232,17.2519,4509.33602,0
174,175,0.0556613,8.49776,8.55342,15,9,6036,5460,11.5377,9.79768,21.3354,4539.22484,0
175,176,0.0550645,5.10129,5.15636,30,24,6090,5507,9.75661,7.33242,17.089,4561.4702,0
176,177,0.0559472,6.11224,6.16818,11,16,6117,5526,12.7079,9.97819,22.6862,4590.3245799999995,0
177,178,0.0577292,7.79267,7.8504,34,19,6170,5571,9.37833,7.03156,16.4099,4614.584879999999,0
178,179,0.0576323,9.54235,9.59998,17,15,6202,5597,9.8188,11.372,21.1908,4645.37566,0
179,180,0.0576996,5.72985,5.78755,34,23,6259,5644,9.79514,6.38993,16.1851,4667.348309999999,0
180,181,0.0569682,6.91048,6.96744,18,11,6288,5664,12.2325,10.4712,22.7038,4697.019549999999,0
181,182,0.0571872,8.65796,8.71515,38,15,6341,5710,9.41109,7.53932,16.9504,4722.685099999999,0
182,183,0.0570341,4.70056,4.75759,16,4,6361,5729,10.9249,10.2092,21.1342,4748.5768899999985,0
183,184,0.0565738,5.96126,6.01783,41,14,6416,5774,9.42252,7.04943,16.472,4771.066719999999,0
184,185,0.0580157,8.03731,8.09532,15,9,6440,5790,12.6974,10.2342,22.9316,4802.093639999999,0
185,186,0.0579221,6.44742,6.50535,14,5,6459,5806,12.034,10.8253,22.8594,4831.458389999999,0
186,187,0.0344599,1.05365,1.08811,0,0,6459,5806,11.4922,1.43e-07,11.492199857000001,4844.038699856999,1
187,188,0.0334152,1.05353,1.08695,0,0,6459,5806,11.6689,1.9e-07,11.668899810000001,4856.794549666999,2
188,189,0.058417,4.73246,4.79088,36,12,6507,5845,8.60355,7.98928,16.5928,4878.178229666999,2
189,190,0.0562584,4.72896,4.78521,17,8,6532,5862,11.8287,10.7023,22.531,4905.494439666999,2
190,191,0.0596926,6.25302,6.31271,41,19,6592,5913,8.28717,6.72939,15.0166,4926.823749666999,2
191,192,0.0583797,7.95599,8.01437,15,10,6617,5931,10.7051,11.6952,22.4003,4957.238419666999,2
192,193,0.0604071,5.84483,5.90524,35,14,6666,5970,10.3388,6.94069,17.2795,4980.423159666999,2
193,194,0.0599338,6.90368,6.96362,9,9,6684,5983,12.5424,10.9701,23.5126,5010.899379666998,2
194,195,0.0340801,0.848806,0.882886,0,0,6684,5983,10.3502,1.8e-07,10.35029982,5022.132565486998,3
195,196,0.034014,0.850658,0.884672,0,0,6684,5983,10.6666,1.33e-07,10.666599867,5033.683837353998,4
196,197,0.0587481,5.44221,5.50095,27,11,6722,6013,10.7683,7.98926,18.7576,5057.942387353997,4
197,198,0.0584076,8.03874,8.09715,11,7,6740,6027,12.2627,11.4005,23.6632,5089.702737353997,4
198,199,0.0590428,5.04605,5.10509,13,7,6760,6042,11.657,10.3996,22.0566,5116.864427353997,4
199,200,0.0592516,7.85376,7.91301,12,8,6780,6056,11.8874,11.0473,22.9348,5147.712237353997,4
200,201,0.0593383,9.03189,9.09123,27,17,6824,6094,9.60256,8.8947,18.4973,5175.300767353997,4
201,202,0.0588639,9.18605,9.24491,16,7,6847,6113,12.0285,10.0844,22.1129,5206.658577353997,4
202,203,0.0601274,9.37622,9.43635,35,24,6906,6159,9.59966,7.54833,17.148,5233.242927353997,4
203,204,0.0596518,4.41526,4.47491,12,5,6923,6174,11.76,10.8967,22.6567,5260.374537353998,4
204,205,0.0576097,4.96161,5.01922,33,19,6975,6216,10.4418,7.28068,17.7225,5283.116257353998,4
205,206,0.0574449,5.82464,5.88208,7,8,6990,6226,12.6161,11.3499,23.966,5312.9643373539975,4
206,207,0.0609874,6.0944,6.15539,44,25,7059,6277,9.28482,6.25477,15.5396,5334.6593273539975,4
207,208,0.0590793,2.4574,2.51648,16,1,7076,6293,11.1021,11.0209,22.123,5359.298807353997,4
208,209,0.0598186,7.0568,7.11662,37,21,7134,6342,10.4509,6.67589,17.1268,5383.542227353997,4
209,210,0.0583907,5.36613,5.42452,19,5,7158,6361,11.4538,9.98052,21.4344,5410.401147353997,4
210,211,0.0589004,4.00591,4.06481,33,19,7210,6399,9.79277,8.45634,18.2491,5432.715057353997,4
211,212,0.0607389,6.24522,6.30596,17,8,7235,6419,12.1211,9.69745,21.8186,5460.839617353997,4
212,213,0.0613143,4.26587,4.32718,40,8,7283,6458,10.6216,7.70128,18.3229,5483.489697353997,4
213,214,0.0622317,7.70352,7.76576,19,9,7311,6483,11.611,9.57167,21.1827,5512.438157353997,4
214,215,0.0612683,8.40062,8.46189,39,28,7378,6536,9.7284,9.05623,18.7846,5539.684647353997,4
215,216,0.0623009,6.75008,6.81238,17,11,7406,6559,12.0405,11.0657,23.1062,5569.603227353997,4
216,217,0.0636998,6.67387,6.73757,38,17,7461,6600,10.473,7.49724,17.9703,5594.311097353997,4
217,218,0.0622662,8.92185,8.98412,18,4,7483,6618,11.1932,11.1724,22.3655,5625.660717353997,4
218,219,0.0615534,8.19344,8.25499,34,17,7534,6659,10.2851,7.06969,17.3549,5651.270607353997,4
219,220,0.0633492,3.76054,3.82389,14,3,7551,6672,11.6399,10.9592,22.5991,5677.693597353997,4
220,221,0.0638491,5.04786,5.11171,29,17,7597,6709,10.003,7.50582,17.5088,5700.314107353996,4
221,222,0.0617076,5.84722,5.90893,19,12,7628,6732,11.275,10.3428,21.6178,5727.840837353996,4
222,223,0.0645336,7.88339,7.94792,37,29,7694,6781,9.57646,6.22306,15.7995,5751.588257353996,4
223,224,0.064731,6.32774,6.39247,18,6,7718,6801,12.1388,9.59079,21.7296,5779.710327353996,4
224,225,0.0628196,4.31784,4.38066,33,16,7767,6837,9.82255,8.51581,18.3384,5802.429387353996,4
225,226,0.0620228,7.12623,7.18825,15,7,7789,6857,12.0821,10.0413,22.1234,5831.741037353996,4
226,227,0.0631794,3.94463,4.00781,30,12,7831,6894,9.93954,9.03431,18.9739,5854.722747353996,4
227,228,0.0638811,8.64376,8.70765,14,17,7862,6916,11.0805,11.693,22.7736,5886.203997353996,4
228,229,0.0626377,6.67683,6.73947,30,16,7908,6952,9.43913,8.05658,17.4957,5910.439167353996,4
229,230,0.0624249,8.26108,8.32351,9,4,7921,6962,12.3995,11.7702,24.1697,5942.932377353995,4
230,231,0.065025,4.49809,4.56312,23,9,7953,6989,11.1074,8.78343,19.8909,5967.386397353996,4
231,232,0.0643496,3.24093,3.30528,14,2,7969,7003,11.9285,11.0781,23.0066,5993.698277353996,4
232,233,0.0644465,6.67346,6.7379,27,10,8006,7034,10.2834,8.34719,18.6306,6019.066777353995,4
233,234,0.0672098,5.58696,5.65417,10,11,8027,7051,12.1041,11.045,23.1491,6047.870047353996,4
234,235,0.0646221,6.13077,6.1954,30,17,8074,7090,9.4112,7.87441,17.2856,6071.351047353995,4
235,236,0.0666094,6.45163,6.51824,11,4,8089,7102,12.27,11.3712,23.6412,6101.510487353996,4
236,237,0.0659646,4.96308,5.02904,26,14,8129,7136,10.7488,8.0489,18.7977,6125.337227353996,4
237,238,0.0671897,8.48441,8.5516,20,4,8153,7155,11.4046,10.3976,21.8023,6155.691127353996,4
238,239,0.0656899,7.08317,7.14886,29,22,8204,7196,10.1065,8.44115,18.5477,6181.387687353997,4
239,240,0.0682915,8.01145,8.07974,18,9,8231,7212,11.5439,10.8969,22.4408,6211.908227353997,4
240,241,0.0670307,8.09688,8.16391,44,33,8308,7269,9.8951,6.91431,16.8094,6236.881537353997,4
241,242,0.0666101,8.17351,8.24012,18,11,8337,7291,10.797,10.939,21.7361,6266.857757353997,4
242,243,0.0665332,1.67198,1.73851,44,4,8385,7328,10.1073,8.90806,19.0154,6287.611667353997,4
243,244,0.0677405,3.71233,3.78007,17,10,8412,7345,11.7598,10.3159,22.0758,6313.467537353998,4
244,245,0.067378,2.85598,2.92336,33,11,8456,7380,8.80665,8.62064,17.4273,6333.818197353998,4
245,246,0.0685446,5.13057,5.19912,16,5,8477,7393,11.9998,11.1459,23.1457,6362.163017353998,4
246,247,0.0675011,6.99068,7.05818,33,24,8534,7436,9.6214,8.00129,17.6227,6386.843897353998,4
247,248,0.0695929,8.62039,8.68998,17,11,8562,7456,11.1217,11.6024,22.7241,6418.257977353997,4
248,249,0.0681968,3.18232,3.25051,35,7,8604,7485,10.1279,8.07833,18.2062,6439.714687353998,4
249,250,0.0689661,3.34883,3.4178,18,6,8628,7503,11.242,10.6699,21.9119,6465.044387353998,4
250,251,0.0667979,6.58808,6.65488,34,22,8684,7546,9.64397,7.4822,17.1262,6488.825467353998,4
251,252,0.0705574,9.65713,9.72769,14,16,8714,7570,11.6374,10.818,22.4554,6521.008557353998,4
252,253,0.0683672,2.86904,2.93741,43,8,8765,7609,10.075,7.83982,17.9148,6541.860767353998,4
253,254,0.0701287,8.11926,8.18939,15,14,8794,7628,12.2652,10.5848,22.85,6572.900157353998,4
