iteration,recover,entiretime,formerflip,laterflip,sumflip,pageflip,hammertime,sumtime,
99, 0.345945, 9.57969, 9.92563, 11, 17, 28, 2928, 23.2993, 2665.49,
100, 0.347307, 7.03153, 7.37884, 27, 19, 46, 2974, 17.8027, 2691.68,
101, 0.347556, 2.20289, 2.55045, 29, 16, 45, 3017, 17.6453, 2712.88,
102, 0.347398, 3.68538, 4.03278, 9, 6, 15, 3031, 22.3935, 2740.31,
103, 0.348095, 8.1041, 8.4522, 19, 26, 45, 3073, 19.4129, 2769.18,
104, 0.347016, 5.14929, 5.49631, 19, 9, 28, 3096, 21.374, 2797.05,
105, 0.348723, 6.47228, 6.82101, 25, 23, 48, 3139, 16.8213, 2821.7,
106, 0.347535, 4.24155, 4.58909, 37, 20, 57, 3193, 16.4275, 2843.72,
107, 0.348237, 6.41898, 6.76722, 34, 20, 54, 3239, 16.9327, 2868.43,
108, 0.349184, 5.36373, 5.71291, 13, 8, 21, 3259, 21.3519, 2896.5,
109, 0.346509, 3.33003, 3.67654, 18, 9, 27, 3283, 19.7283, 2920.91,
110, 0.350663, 4.70144, 5.0521, 20, 14, 34, 3313, 18.3993, 2945.36,
111, 0.347685, 3.59899, 3.94668, 8, 9, 17, 3330, 22.9549, 2973.27,
112, 0.346328, 4.5018, 4.84813, 23, 8, 31, 3358, 20.0235, 2999.14,
113, 0.346609, 7.15322, 7.49983, 12, 7, 19, 3377, 21.7258, 3029.37,
114, 0.348728, 8.47999, 8.82872, 12, 4, 16, 3392, 23.4617, 3062.67,
115, 0.347335, 9.66027, 10.0076, 17, 7, 24, 3414, 21.8982, 3095.58,
116, 0.351005, 7.0065, 7.3575, 13, 8, 21, 3432, 23.7017, 3127.64,
117, 0.349366, 6.91953, 7.2689, 30, 22, 52, 3481, 16.3889, 3152.3,
118, 0.350734, 7.38362, 7.73435, 18, 8, 26, 3504, 21.0297, 3182.07,
119, 0.349009, 3.47274, 3.82174, 26, 20, 46, 3544, 18.1122, 3205.01,
